[6396:19704:0418/230540.514:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[8148:13888:0418/235004.297:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #119).
[8148:13888:0418/235004.318:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #119).
[8148:13888:0418/235004.330:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #119).
[8148:13888:0418/235004.350:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #119).
[8148:13888:0418/235004.363:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #119).
[8148:13888:0418/235004.446:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #123).
[8148:13888:0418/235004.467:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #123).
[8148:13888:0418/235004.482:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #123).
[8148:13888:0418/235004.498:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #123).
[8148:13888:0418/235004.519:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #123).
[8148:13888:0418/235004.536:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #123).
[8148:13888:0418/235004.551:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #123).
[8148:13888:0418/235004.566:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #123).
[8148:13888:0418/235004.576:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #123).
[8148:13888:0418/235004.592:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #123).
[8148:13888:0418/235004.612:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #123).
[8148:13888:0418/235005.691:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #131).
[8148:13888:0418/235005.898:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #135).
[8148:13888:0418/235005.906:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #135).
[8148:13888:0418/235211.664:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #662).
[8148:13888:0418/235211.732:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #665).
[8148:13888:0418/235211.748:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #665).
[8148:13888:0418/235211.864:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #671).
[8148:13888:0418/235211.884:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #671).
[8148:13888:0418/235211.899:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #671).
[8148:13888:0418/235211.967:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #674).
[8148:13888:0418/235211.982:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #674).
[8148:13888:0418/235212.049:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #677).
[8148:13888:0418/235212.115:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #680).
[8148:13888:0418/235212.166:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #682).
[8148:13888:0418/235212.196:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #682).
[8148:13888:0418/235212.263:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #685).
[8148:13888:0418/235212.480:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #693).
[8148:13888:0418/235212.546:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #696).
[8148:13888:0418/235256.055:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1207).
[8148:13888:0418/235256.071:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1207).
[8148:13888:0418/235256.087:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1207).
[8148:13888:0418/235256.103:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1207).
[8148:13888:0418/235256.119:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1207).
[8148:13888:0418/235256.135:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1207).
[8148:13888:0418/235300.745:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1221).
[8148:13888:0418/235300.761:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1221).
[8148:13888:0418/235300.778:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1221).
[8148:13888:0418/235300.795:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1221).
[8148:13888:0418/235300.811:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1221).
[8148:13888:0418/235300.830:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1221).
[8148:13888:0419/000613.982:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #2178).
[8148:13888:0419/000613.998:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #2178).
[8148:13888:0419/000614.015:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #2178).
[8148:13888:0419/000614.030:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #2178).
[8148:13888:0419/000614.047:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #2178).
[8148:13888:0419/000614.062:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #2178).
[8148:13888:0419/000614.278:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #2178).
